State,District,Latitude,Longitude
Andaman and Nicobar Islands,North and Middle Andaman,11.55482845,92.23849
Andaman and Nicobar Islands,South Andaman,10.7056905,92.48746789633373
Andaman and Nicobar Islands,Nicobars,10.7056905,92.48746789633373
Andhra Pradesh,East Godavari,17.233496,81.7225986
Andhra Pradesh,Srikakulam,17.233496,81.7225986
Andhra Pradesh,Spsr Nellore,14.71875825,79.65961022770595
Andhra Pradesh,Vizianagaram,18.110744,83.386585
Andhra Pradesh,Visakhapatnam,18.110744,83.386585
Andhra Pradesh,Prakasam,15.2282086,79.87449940066091
Andhra Pradesh,Anantapur,15.2282086,79.87449940066091
Andhra Pradesh,Ysr,17.0771387,81.6653938
Andhra Pradesh,West Godavari,16.9550574,81.4530037
Andhra Pradesh,Kurnool,15.8344103,78.0499956
Andhra Pradesh,Chittoor,13.0108668,79.2249071
Andhra Pradesh,Guntur,13.0108668,79.2249071
Andhra Pradesh,Krishna,17.0347692,81.7819183
Arunachal Pradesh,Lower Dibang Valley,17.0347692,81.7819183
Arunachal Pradesh,Lower Subansiri,27.8,93.6
Arunachal Pradesh,Longding,27.8,93.6
Arunachal Pradesh,West Siang,28.4,94.55
Arunachal Pradesh,Kamle,28.4,94.55
Arunachal Pradesh,Upper Siang,28.6416983,95.0252232
Arunachal Pradesh,Tirap,27.5013437,96.5242944
Arunachal Pradesh,Papum Pare,27.5013437,96.5242944
Arunachal Pradesh,Kurung Kumey,27.98636765,93.15783468644102
Arunachal Pradesh,Siang,28.477492,94.81655728795752
Arunachal Pradesh,Lower Siang,28.477492,94.81655728795752
Arunachal Pradesh,Kra Daadi,27.9366293,92.6658618
Arunachal Pradesh,Changlang,27.272007,96.06552596101916
Arunachal Pradesh,Pakke Kessang,27.1061731,92.9311395
Arunachal Pradesh,Dibang Valley,28.8291044,95.95540957636018
Arunachal Pradesh,West Kameng,27.33862695,92.43336623881612
Arunachal Pradesh,East Siang,28.3,95.15
Arunachal Pradesh,Upper Subansiri,28.3,94.0
Arunachal Pradesh,East Kameng,27.55778095,92.96738426595108
Arunachal Pradesh,Lohit,28.0060625,96.2431946
Arunachal Pradesh,Lepa Rada,28.0060625,96.2431946
Arunachal Pradesh,Tawang,27.6741942,91.93620587613825
Arunachal Pradesh,Namsai,27.6741942,91.93620587613825
Arunachal Pradesh,Anjaw,28.1114301,96.82699963398372
Arunachal Pradesh,Shi Yomi,28.1114301,96.82699963398372
Assam,Tinsukia,27.5971709,95.566852920138
Assam,Lakhimpur,27.2382645,94.1053145
Assam,Kamrup,26.2074223,91.6771799
Assam,Kokrajhar,26.2074223,91.6771799
Assam,Karbi Anglong,26.0,93.5
Assam,Sivasagar,26.0,93.5
Assam,Dibrugarh,27.4881672,95.3623358
Assam,South Salmara Mancachar,27.4881672,95.3623358
Assam,Nagaon,27.4881672,95.3623358
Assam,Dhubri,25.543251265569022,87.56949075116762
Assam,Golaghat,26.5305611,93.9603353
Assam,Udalguri,26.70472375,92.04215071409465
Assam,Majuli,26.70472375,92.04215071409465
Assam,Sonitpur,26.70472375,92.04215071409465
Assam,Hojai,26.70472375,92.04215071409465
Assam,Marigaon,26.70472375,92.04215071409465
Assam,Chirang,26.70472375,92.04215071409465
Assam,Cachar,25.083333,92.916667
Assam,Nalbari,25.083333,92.916667
Assam,West Karbi Anglong,25.083333,92.916667
Assam,Dhemaji,27.5945155,94.71920979201424
Assam,Karimganj,24.86648155,92.35121508187882
Assam,Bongaigaon,24.86648155,92.35121508187882
Assam,Dima Hasao,25.40036255,93.07522922678903
Assam,Baksa,25.40036255,93.07522922678903
Assam,Charaideo,25.40036255,93.07522922678903
Assam,Darrang,26.75,92.5
Assam,Kamrup Metropolitan,26.75,92.5
Assam,Hailakandi,24.6827307,92.5622753
Assam,Barpeta,24.6827307,92.5622753
Assam,Goalpara,24.6827307,92.5622753
Assam,Biswanath,24.6827307,92.5622753
Assam,Jorhat,26.7586112,94.20640848109768
Bihar,Madhepura,26.7586112,94.20640848109768
Bihar,Purnia,25.774436,87.410032125
Bihar,Nalanda,25.4374355,85.2919909
Bihar,Buxar,25.4374355,85.2919909
Bihar,Darbhanga,25.4374355,85.2919909
Bihar,Nawada,24.7270817,84.5693914
Bihar,Jamui,24.7270817,84.5693914
Bihar,Sheikhpura,24.7270817,84.5693914
Bihar,Siwan,26.166667,84.5
Bihar,Muzaffarpur,26.1667052,85.4166314
Bihar,Patna,25.46737665,85.19581528126407
Bihar,Jehanabad,25.46737665,85.19581528126407
Bihar,Rohtas,24.93928775,84.01945448852067
Bihar,Begusarai,25.5,86.25
Bihar,Supaul,25.5,86.25
Bihar,Sitamarhi,26.666667,85.5
Bihar,Saran,25.6085763,85.1993479
Bihar,Arwal,25.2320301,84.6775384
Bihar,Vaishali,25.696274,85.2228359
